"url","twitterUrl","id","text","retweetCount","replyCount","likeCount","quoteCount","createdAt","bookmarkCount","isRetweet","isQuote","nextCursor"
"https://x.com/CrazeElvo/status/1950243609455816956","https://twitter.com/CrazeElvo/status/1950243609455816956","1950243609455817000","#Ika: TGE tomorrow 🔥

Ika is the first MPC Sui network with sub-second performance, scalable to 10,000 TPS. 

➡️ Stamps will be launched on the website ( https://t.co/SzWGaC8JOO ).

Tokenomics:
🟢 Total tokens: 10 billion IKA.
🟢 Allocated for the drop: 600 million or 6%.
🟢 OTC https://t.co/Fzl8rchRSB","12","5","13","0","Tue Jul 29 17:14:44 +0000 2025","0",,"false",
"https://x.com/Altcoincall/status/1945859858676466156","https://twitter.com/Altcoincall/status/1945859858676466156","1945859858676466200","🔥🔥@NekoEth25 NEKO an ERC-20 token, ensuring secure and wide compatibility contract is renounced, eliminating developer control risks.   
 Liquidity is locked,and burned , Good team behind it, Long term Based,
CA:
0x74697d4fd0536c6885334b11d5c6dbf58729369f
#ETH #ERC20 #ethereum https://t.co/08V3w0933u","103","37","235","1","Thu Jul 17 14:55:17 +0000 2025","0",,"false",
"https://x.com/suipiens/status/1947944787488940274","https://twitter.com/suipiens/status/1947944787488940274","1947944787488940300","🚀 @ikadotxyz IKA Moonsheet 🚀 

🔹 Ticker: $IKA. 
🔹 Initial Supply: 3B $IKA. 
🔹 Total Supply: 10B $IKA. 
🔹 TGE: July 29th. 
🔹 Utilities: Payment ➕ Security ➕ Governance.

LIKE + REPOST + COMMENT YOUR MARKETCAP PREDICTION AT TGE &amp; SUI WALLET 👇 

💰 2 correct ones will win https://t.co/xK0frRHNov","90","82","258","4","Wed Jul 23 09:00:03 +0000 2025","32",,"false",
"https://x.com/eikebatista/status/1894366632375402522","https://twitter.com/eikebatista/status/1894366632375402522","1894366632375402500","🚨🔥 EIKE IS BACK! 🔥🚨

The Dragon has awakened. 🐉⚡ The future of crypto starts TODAY.

Stay tuned for the $EIKE Token official press release at 12 PM. Major announcements coming! 🚀🌎

#EikeIsBack #EikeToken #CryptoRevolution #BRXe #BrazilianElonMusk

@elonmusk https://t.co/CgAV3y5BSJ","12","37","182","12","Tue Feb 25 12:39:35 +0000 2025","7",,"false",
"https://x.com/livecoinsBR/status/1894724579978772769","https://twitter.com/livecoinsBR/status/1894724579978772769","1894724579978772700","Eike Batista lança token RWS na Solana. https://t.co/LHM8yPNk9X","4","61","138","10","Wed Feb 26 12:21:56 +0000 2025","11",,"false",
"https://x.com/CautiousKey777/status/1950124915316969592","https://twitter.com/CautiousKey777/status/1950124915316969592","1950124915316969500","There is Scam Tokens floating around.
If you see this FAKE Ika , Don't interact with it. 
Token Address:
0xfb7674a6e1b5943472435b5f04b0b5d09a9a49b3dd2ec1ae34d13c1e952ffe7e::ika::IKA https://t.co/XemQTMn8IK","0","0","0","0","Tue Jul 29 09:23:06 +0000 2025","0",,"false",
"https://x.com/geulstella/status/1949101164454359041","https://twitter.com/geulstella/status/1949101164454359041","1949101164454359000","🦑 IKA Tokenomics Overview at TGE

@ikadotxyz 
❒ Tokenomics
Community Reseve - 46%
Ecosystem Icentives - 8.25%
Initial Community Drop - 6%
Core Contributors - 23%
Early Backers - 16.75%

❒ Presale @Gate_io 
Price - $0.025
Supply - 200,000,000 IKA, 2%

❒ Expected TGE ($0.025) https://t.co/l2arxfF6DS","0","1","7","0","Sat Jul 26 13:35:04 +0000 2025","0",,"false",
"https://x.com/valterrgomes/status/1934030691945365594","https://twitter.com/valterrgomes/status/1934030691945365594","1934030691945365500","CADE O TOKEN $EIKE? HAHAHHA","0","0","0","0","Sat Jun 14 23:30:24 +0000 2025","0",,"true",
"https://x.com/shrut_g/status/1950026174094028825","https://twitter.com/shrut_g/status/1950026174094028825","1950026174094028800","ETH: “You broke the math, you’re toast.”

EIGEN: “You insulted reality. The people demand a fork.”

One slashes with code. The other slashes with community judgment.

Together they defend the Open Verifiable Digital Commons 🛡️🌍
#EigenCloud #EIGEN #CryptoMeme #Tokenomics 

I just https://t.co/BMyoEADsLR","2","0","6","0","Tue Jul 29 02:50:44 +0000 2025","0",,"false",
"https://x.com/ZoeAlterEgoCode/status/1950130714449412231","https://twitter.com/ZoeAlterEgoCode/status/1950130714449412231","1950130714449412400","Scam token being sent to everyone eligible for the $IKA airdrop. It's not real, don't touch it if you're a newbie and if you're experience, you can burn it using @suilendprotocol https://t.co/UWf4I0UCzd","1","0","2","0","Tue Jul 29 09:46:08 +0000 2025","1",,"true",
